Module;Functionality;Tag;Discontinued;Fragment;AllowISO;DenyISO;Standard;Premium;Professional;Enterprise;Included;NotYetAvailable
_Base Module;;SEVR;False;Server;;;X;X;X;X;True;False
;Multilanguage descriptions;SEVR;False;Languages;;;;X;X;X;True;False
;Multicurrency;SEVR;False;Currencies;;;;X;X;X;True;False
;Contacts Management;SEVR;False;Contacts;;;;;;;False;False
;Budget (Cust/Supp);SEVR;False;Budget;;;;;;;False;False
Financials;;CONT;False;Financials;;;X;X;X;X;True;False
;Customizable Tax Journals;CONT;False;MultiTaxJournals;;;;X;X;X;True;False
;Customizable Accounting Templates;CONT;False;CustomizedAccountingTemplates;;;;X;X;X;True;False
;Purchase Electronic Invoice Accounting Import;CPCO;False;PurchaseElectronicInvoicing;IT;;;X;X;X;True;False
;Plafond Management;CONT;False;Plafond;IT,HU;;;;X;X;True;False
;Advanced AP/AR Management;CONT;False;AP_AR_Plus;;;;X;X;X;True;False
;Dunning letters;CONT;False;Dunnings;;;;X;X;X;True;False
;Payment Schedule Analysis and Cash Flow;CONT;False;AP_AR_Analysis;;;;;;X;True;False
;Automatic Accrual and Deferrals;CONT;False;AccrualsDeferrals;;;;X;X;X;True;False
;Balance Analysis and Reclassifications;CONT;False;BalanceAnalysis;;;;X;X;X;True;False
;Professionals Fees and Withholding Tax;CONT;False;Payees;IT,RS,HR,CL,RO,NL,TN,ES;;;X;X;X;True;False
Advanced Banks Management;;BAPL;True;;IT;;;;;;False;False
Fixed Assets;;CSPT;False;FixedAssets;;;;X;X;X;True;False
Forecast Accounting;;COPR;False;ForecastAccounting;;;;;;X;True;False
XBRL Balance;;XBRL;False;XBRL;IT;;;;;X;True;False
Accounting Books and Balance Attachments;;LIBR;False;AccountingBooks;;;;;X;X;True;False
Balance Analysis (Basel II);;BAII;False;Basel_II;IT;;;;;X;True;True
Consolidated Balance;;BICO;False;MultiCompanyBalances;;;;;;X;True;False
Cost Accounting;;COAN;False;CostAccounting;;;;;X;X;True;False
;Product Lines;CFIN;False;ProductLines;;;;;;X;True;False
;Transfers;CFIN;False;CostAccountingTransfer;;;;;;X;True;False
Cash Management;;CASH;False;Cash;;IT,CH,BR;;;;X;True;False
Intrastat;;INTR;False;Intrastat;AT,BE,BG,CY,CZ,DE,DK,EE,FI,FR,GB,GR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,ES;;;X;X;X;True;False
Sales / Purchases;;VEDT;False;SalePurchaseDocuments;;;X;X;X;X;True;False
;Advanced Items Management;VEDT;False;AdvancedItemsManagement;;;;X;X;X;True;False
Sale Orders;;ORCL;False;SaleOrders;;;;X/0;X/0;X/0;True;False
;Customer Quotations;ORCL;False;CustomerQuotations;;;;;;;False;False
Sale Invoices / Delivery Notes;;VEDT;False;Sales;;;X;X;X;X;True;False
;Multiple Stub Books;VEDT;False;MultiStubBooks;;;;;;;False;False
;Picking List;VEDT;False;PickingList;;;;;;;False;False
e-commerce;;ECOM;False;eCommerce;;;;;;;False;True
Store Management;Backend;STMN;False;StoreManagement;;;;;;;False;True
;Variants / Size and Colors;RMVN;False;StoreVariants;;;;;;;False;True
;Food Recipes;STRE;False;FoodRecipe;;;;;;;False;True
;In-store App Mobile;STMO;False;InStoreApp;;;;;;;False;True
CRM;Infinity Connector;MAIF;False;InfinityConnector;;;;;X;X;True;True
;CRM User sales/marketing;;False;CRMUserSales;;;;;Nr-User;Nr-User;True;True
;CRM User full;;False;CRMUserFull;;;;;;Nr-User;True;True
Conai;;CONA;False;Conai;IT,RO,BG,HU,ES;;;;;;False;False
WEEE;;RAEE;False;WEEE;AT,BE,BG,CY,CZ,DE,DK,EE,FI,FR,GB,GR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK;;;;;;False;False
Sales Force Management;;SFMG;False;SalesPeople;;;;;;;False;False
Credit Limit Management;;CRED;False;CreditLimit;;;;;X;X;False;False
Additional Charges;;SEVR;False;AdditionalCharges;;BR;;;;;False;False
Purchase Orders;;ORFO;False;PurchaseOrders;;;;;;;False;False
;Supplier Quotations;ORFO;False;SupplierQuotations;;;;;;;False;False
Purchases;;ACQT;False;Purchases;;;;;;;False;False
;Electronic Invoices Import in Purchase Documents;CPAC;False;PurchaseElectronicInvoicingAdv;;;;;;;False;True
Inventory;;MAGA;False;Inventory;;;;;;;False;False
;Multistorage;MAGA;False;MultiStorage;;;;;;;False;False
;Single Step LIFO/FIFO;MAGA;False;SingleStepLifoFifo;HU,IT,CH,BG,DE;;;;;;False;False
;Inventory Adjustments Entries;MAGA;False;InventoryAdjustment;;;;;;;False;False
Quality Inspections;;INSP;False;QualityInspection;;;;;;;False;False
Barcode Manager;;BARC;True;;;;;;;;False;False
Lots and Serial Numbers;;LOTT;False;LotsSerials;;;;;;;False;False
WMS;Basic;WMAA;False;WMSBasic;;;;;;;False;False
;Advanced;WMAD;False;WMSAdvanced;;;;;;;False;False
;Shipping;WMSH;True;WMSShipping;;;;;;;False;False
;Mobile - backend;WMRF;False;WMSMobile;;;;;;;False;False
;Mobile - app;WMRC;False;WMSMobileApp;;;;;;;False;False
Resources Management;;SEVR;False;_RESMAN;;;;;;;False;False
Bill of Materials;;DIST;False;BillOfMaterials;;;;;;;False;False
;Engineering Changing Order;ECO;False;ECO;;;;;;;False;False
Variants;;VARI;False;Variants;;;;;;;False;False
Configurator;;CONF;False;Configurator;;;;;;;False;False
Basic Manufacturing;;PRZB;False;ManufacturingBasic;;;;;;;False;False
Advanced Manufacturing;;PRZA;False;ManufacturingAdvanced;;;;;;;False;False
;Drawings Management, History and Versioning;PRZA;False;BillOfMaterialsPlus;;;;;;;False;False
;Kanban;PRZA;False;Kanban;;;;;;;False;False
Open Orders;;OPOR;False;OpenOrders;;;;;;;False;True
Manufacturing Mobile;backend;MANM;False;ManufacturingMobile;;;;;;;False;False
;app;MANC;False;ManufacturingMobileApp;;;;;;;False;False
Planning;Basic;PRZP;False;ManufacturingPlanning;;;;;;;False;False
;Advanced Planning;PRPA;False;MRPAdvanced;;;;;;;False;True
Tools Management;;ATTR;False;ToolsManagement;;;;;;;False;False
_DMS;Basic;EATT;False;DMS;;;;;X;X;True;True
;Massive Archiving Plug-In;MASS;False;DMSMassive;;;;;;X;True;True
Job Scheduler;;SCHD;False;JobScheduler;;;;;;X;True;True
Security;;OSLL;False;Security;;;;;X;X;True;True
;Access profiles;OSLS;False;SecurityAdvanced;;;;;X;X;True;True
;Auditing;AUDT;False;Auditing;;;;;X;X;True;True
;Visibility;VISI;False;Visibility;;;;;X/0;X;True;True
_Xgate;;XGAT;True;;;;;;;;False;False
IMS Custom Flows;;ISCF;True;;;;;;;;False;False
